recno,Seq,Name,PapI,RSpec,Type,CHb,n_Ne-,Ne-,n_TOIII,TOIII,n_TNII,TNII,Excit,n_He,He,n_C,C,n_N,N,n_O,O,n_Ne,Ne,n_S,S,n_Ar,Ar,C/N,C/O,N/O,C+N,C+N+O
24,24,SMP_SMC_24,"    ",mon,n,0.0,*,5000," ",12700,:,12700,2.1," ",11.0," ",0.0," ",6.86," ",8.0," ",7.06," ",5.49," ",0.0,0.0,0.0,-1.14,6.86,8.03
25,25,SMP_SMC_25,(P1),"   ",I,0.23," ",9800,:,21100," ",21100,7.4," ",11.02,<,6.74," ",7.92," ",7.56," ",6.96,+,7.05," ",5.48,-1.18,-0.82,0.36,7.95,8.09
26,26,SMP_SMC_26,"    ","   ",i,0.44," ",300," ",18000," ",11000,7.5,~,10.96," ",0.0," ",8.1," ",8.14," ",7.43,+,6.04," ",5.55,0.0,0.0,-0.04,8.1,8.42
27,27,SMP_SMC_27,"    ",mon,n,0.0,*,5000," ",13100,:,13100,2.8," ",10.92," ",0.0," ",7.03," ",7.99," ",7.0," ",0.0," ",0.0,0.0,0.0,-0.96,7.03,8.04
28,28,SMP_SMC_28,(P1),"   ",I,0.19," ",20700," ",19200," ",14600,7.3," ",11.11,<,6.39," ",8.0,+,7.46," ",6.86," ",6.87," ",5.67,-1.61,-1.07,0.53,8.01,8.12
29,29,SMP_SMC_32,"    ","   ",n,0.0,*,5000," ",14700,:,14700,3.1," ",10.91," ",0.0,<,7.05,+,7.95," ",7.0,+,6.5,:,4.83,0.0,0.0,-0.91,7.05,8.01
30,30,SMP_SMC_34,"    ","   ",n,0.03," ",500," ",13000," ",10000,2.0," ",10.85," ",0.0," ",7.16," ",8.21," ",7.57,+,6.0,:,5.38,0.0,0.0,-1.05,7.16,8.25
31,31,MGPN_SMC_2,"    ",vas,n,1.31,*,5000,*,12000,*,12000,2.4,<,10.52," ",0.0,<,6.67," ",8.19," ",7.42,<,7.67,:,6.0,0.0,0.0,-1.52,6.67,8.2
32,32,MGPN_SMC_7,"    ","   ",n,0.98," ",200," ",15500,:,15500,5.4," ",11.06," ",0.0," ",7.17," ",8.08," ",7.69," ",5.73," ",5.34,0.0,0.0,-0.91,7.17,8.13
33,33,MGPN_SMC_8,"    ",vas,n,0.0,*,5000,*,12000,*,12000,5.9," ",10.74," ",0.0," ",7.45," ",8.44,<,7.45,+,6.15,<,5.78,0.0,0.0,-1.0,7.45,8.48
34,34,MGPN_SMC_9,"    ","   ",n,1.08," ",4600," ",20900,:,20900,1.8," ",10.81," ",0.0," ",6.49," ",7.35," ",6.49," ",6.72,:,5.27,0.0,0.0,-0.86,6.49,7.41
35,35,MGPN_SMC_12,(P1),"   ",I,0.56," ",1300," ",22100," ",12800,7.5," ",11.21,:,8.4," ",8.14," ",7.47," ",7.1," ",6.67," ",5.82,0.26,0.93,0.67,8.59,8.63
36,36,MGPN_SMC_13,"    ","   ",n,0.28," ",1000," ",18800,:,18800,10.0,~,11.04," ",0.0,:,7.68," ",8.49," ",7.57,~,8.31," ",5.52,0.0,0.0,-0.81,7.68,8.55
37,37,LHA_115-N_8,"    ",mon,n,0.0,*,5000,*,12000,*,12000,0.0," ",0.0," ",0.0," ",6.74," ",8.2,:,0.0," ",6.15," ",0.0,0.0,0.0,-1.46,6.74,8.21
38,1,SMP_LMC_1,(P1),"   ",i,0.38," ",2600," ",10800," ",9400,3.5," ",10.95,:,8.4,:,7.91," ",8.34," ",7.44," ",7.32," ",5.94,0.5,0.06,-0.43,8.52,8.74
